PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
Y2X840,01RBA2406-49,2024-11-05,ROB AUTO,2023 MITSUBISHI MIRAGE G4G4 1.2G GLX CVT (A/T),Y2X840
B1N102,01RBA2406-50,2024-11-05,ROB AUTO,2017 MITSUBISHI Adventure GLS SPT 2.5D MT,B1N102
B4X380,01RBA2406-51,2024-11-05,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLS CVT (A/T),B4X380
B0R696,01RBA2406-54,2024-11-05,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX CVT,B0R696
K0 K535,01RBA2406-55,2024-11-05,ROB AUTO,2019 HYUNDAI KONA 2.0 GLS 6AT 2WD,K0K535
B4V020,01RBA2406-57,2024-11-05,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B4V020
K1X356,01RBA2406-58,2024-11-05,ROB AUTO,2020 HYUNDAI REINA 1.4 GL 5MT WITH AVN,K1X356
O0E646,01RBA2407-3,2024-07-22,ROB AUTO,2018 MAZDA Mazda 3 SDN 1.5 AT IPM,O0E646
A0G173,01RBA2407-5,2024-07-22,ROB AUTO,2017 TOYOTA Fortuner 2.5 4X2 V DSL AT,A0G173
B4J150,01RBA2407-6,2024-07-22,ROB AUTO,2019 MITSUBISHI XPANDER GLS SPORT 1.5G 2WD AT,B4J150
Y4D581,01RBA2407-8,2024-07-22,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y4D581
C1L262,01RBA2407-9,2024-07-22,ROB AUTO,2018 FORD Ranger 3.2L Wildtrak 4x4 6MT,C1L262
Y0T045,01RBA2407-11,2024-07-22,ROB AUTO,2023 MITSUBISHI Strada GLS 2.4D 2WD AT,Y0T045
F1F691,01RBA2407-12,2024-07-22,ROB AUTO,2019 NISSAN Nissan Terra 2.5 4X2 VE AT,F1F691
B3S562,01RBA2407-16,2024-07-22,ROB AUTO,2018 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B3S562
E2W504,01RBA2407-18,2024-07-22,ROB AUTO,2021 HONDA City 1.5 S CVT,E2W504
K1 V192,01RBA2407-20,2024-07-22,ROB AUTO,2020 HYUNDAI H-100 2.5 CRDI GL 6 MT SHUTTLE BODY W/ DUAL AC,K1V192
B2A615,01RBA2407-21,2024-07-22,ROB AUTO,2017 MITSUBISHIMirage HB 1.2L GLX MT,B2A615
K0 V318,01RBA2408-6,2024-08-22,ROB AUTO,2019 HYUNDAI REINA 1.4 GL 4AT,K0V318
K1 F125,01RBA2408-8,2024-08-22,ROB AUTO,2020 HYUNDAI Accent 1.4 MT W/ SRS,K1F125
C4A438,01RBA2408-11,2024-08-22,ROB AUTO,2022 FORD RANGER 2.2L XLS 4X2 MT,C4A438
E3A899,01RBA2408-13,2024-08-22,ROB AUTO,2021 HONDA City 1.5 RS CVT,E3A899
B2K906,01RBA2408-16,2024-08-22,ROB AUTO,2018 MITSUBISHI Montero Sport GLS 2.4D 2WD A/T,B2K906
BOF772,01RBA2408-17,2024-08-22,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX M/T,BOF772
K0 T749,01RBA2408-18,2024-08-22,ROB AUTO,2019 HYUNDAI Accent 1.4 GL AT W/O SRS,K0T749
MQ1300,01RBA2408-19,2024-08-22,ROB AUTO,2016 HYUNDAI Accent 1.4 GL MT,MQ1300
MP1591,01RBA2408-20,2024-08-22,ROB AUTO,2016 HYUNDAI TUCSON 2.0 S 2WD (DSL) A/T,MP1591
MO2418,01RBA2408-21,2024-08-22,ROB AUTO,HYUNDAI GRAND STAREX 2.5 GOLD 10 STR AT 2015,MO2418
N06099,01RBA2408-22,2024-08-22,ROB AUTO,MITSUBISHI ADV GLS SPORT 2.5 D MT 2016,N06099
MR6447,01RBA2408-25,2024-08-22,ROB AUTO,2017 HYUNDAI Elantra 1.6 GL MT,MR6447
T0C664,01RBA2408-26,2024-08-22,ROB AUTO,2020 GEELY COOLRAY SPORT 1.5L,T0C664
E0W688,01RBA2408-28,2024-08-22,ROB AUTO,2019 HONDA City 1.5 VX NAVI CVT,E0W688
F3J172,01RBA2408-29,2024-08-22,ROB AUTO,2020 NISSAN NAVARA 4x4 VL AT,F3J172
E0Y193,01RBA2408-32,2024-08-22,ROB AUTO,2017 HONDA Mobillo 1.5 E MT,E0Y193
B3-C210,01RBA2408-34,2024-08-22,ROB AUTO,2018 MITSUBISHI Montero Sport GLX 2WD M/T,B3C210
B6V160,01RBA2408-36,2024-08-22,ROB AUTO,2020 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B6V160
B3D662,01RBA2408-37,2024-08-22,ROB AUTO,2018 MITSUBISHI Montero Sport GLS 2.4D 2WD A/T,B3D662
K0 C560,01RBA2408-38,2024-08-22,ROB AUTO,2018 HYUNDAI Grand Starex 2.5 CRDI GLS 5 AT (DSL SWIVEL),K0C560
B7B682,01RBA2408-41,2024-08-22,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B7B682
B0V712,01RBA2408-42,2024-08-22,ROB AUTO,2017 MITSUBISHI Adventure GLS SPT 2.5D MT,B0V712
NN3337,01RBA2408-43,2024-08-22,ROB AUTO,MITSUBISHI ADV GX MT 2016,NN3337
B3X865,01RBA2408-44,2024-08-22,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B3X865
MV3163,01RBA2408-46,2024-08-22,ROB AUTO,2018 HYUNDAI Grand Starex 2.5 CRDI GLS DSL SWIVEL AT,MV3163
Y0-C220,01RBA2408-48,2024-08-22,ROB AUTO,MITSUBISHI STRADA ATHLETE 2.4D 4X2 AT,Y0C220
C3E775,01RBA2408-49,2024-08-22,ROB AUTO,2021 FORD TERRITORY 1.5L ECOBOOST TREND CVT,C3E775
B4N822,01RBA2408-51,2024-08-22,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B4N822
Y1I422,01RBA2408-52,2024-08-22,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y1I422
MV2294,01RBA2408-53,2024-08-22,ROB AUTO,2018 HYUNDAI Elantra 1.6 GL MT,MV2294
NJ6361,01RBA2408-55,2024-08-22,ROB AUTO,MITSUBISHI MIRAGE G4 GLX 1.2G MT 2015,NJ6361
B9S782,01RBA2408-56,2024-08-22,ROB AUTO,2022 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B9S782
B2J638,01RBA2408-57,2024-08-22,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLS CVT (A/T),B2J638
A8Q147,01RBA2408-59,2024-08-22,ROB AUTO,2019 TOYOTA Vios 1.3 E AT,A8Q147
B9H509,01RBA2409-5,2024-09-25,ROB AUTO,2022 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B9H509
K1 U832,01RBA2409-6,2024-09-25,ROB AUTO,2020 HYUNDAI Accent 1.4 GL MT W/O SRS,K1U832
K1 V610,01RBA2409-7,2024-09-25,ROB AUTO,2020 HYUNDAI H-100 2.5 CRDI GL 6MT SHUTTLE BODY W/ FRONT AC,K1V610
MU0739,01RBA2409-9,2024-09-25,ROB AUTO,2018 HYUNDAI Elantra 1.6 GL AT,MU0739
E2S001,01RBA2411-3,2024-11-05,ROB AUTO,2020 HONDA BRIO 1.2RS BLACK TOP CVT,E2S001
T0H678,01RBA2411-4,2024-11-05,ROB AUTO,2021 GEELY COOLRAY SPORT 1.5L,T0H678
T0G 031,01RBA2411-7,2024-11-05,ROB AUTO,2021 GEELY COOLRAY SPORT 1.5L,T0G031
G0T036,01RBA2411-9,2024-11-05,ROB AUTO,2018 SUZUKI Ertiga GL 1.4L M/T,G0T036
G0Z284,01RBA2411-10,2024-11-05,ROB AUTO,2018 SUZUKI ERTIGA 1.4L GLX AT MC,G0Z284
F1N119,01RBA2411-11,2024-11-05,ROB AUTO,2019 NISSAN Navara 4x2 EL AT Calibre,F1N119
E2N224,01RBA2411-12,2024-11-05,ROB AUTO,2021 HONDA BRV 1.5 S CVT,E2N224
K1R024,01RBA2411-13,2024-11-05,ROB AUTO,2020 HYUNDAI REINA 1.4 GL 4AT,K1R024
A1E972,01RBA2411-14,2024-11-05,ROB AUTO,2017 TOYOTA Vios 1.3 E AT,A1E972
K1 Y138,01RBA2411-15,2024-11-05,ROB AUTO,2021 HYUNDAI REINA 1.4 GL 4AT,K1Y138
B7-Z170,01RBA2411-17,2024-11-05,ROB AUTO,2020 MITSUBISHI XPANDER GLX 1.5G 2WD MT,B7Z170
P8N180,01RBA2411-18,2024-11-05,ROB AUTO,2021 TOYOTA Vios 1.3 XLE CVT,P8N180
CS# DV3187,01RBA2411-19,2024-11-05,ROB AUTO,2016 HONDA Mobillo 1.5 E MT,CSDV3187
VY5079,01RBA2411-20,2024-11-05,ROB AUTO,2017 TOYOTA Fortuner 4x2 V 2.4 Dsl A/T,VY5079
B7J015,01RBA2411-21,2024-11-05,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B7J015
E2G640,01RBA2411-22,2024-11-05,ROB AUTO,2020 HONDA City 1.5 VX + CVT,E2G640
E1D506,01RBA2411-23,2024-11-05,ROB AUTO,2019 HONDA Jazz 1.5 VX CVT,E1D506
MT5665,01RBA2411-24,2024-11-05,ROB AUTO,2018 HYUNDAI H-100 Shuttle 2.6L (FL) w/ Dual AC MT,MT5665
MV3987,01RBA2411-25,2024-11-05,ROB AUTO,2018 HYUNDAI Tucson 2.0 GL 2WD AT,MV3987
MU8278,01RBA2411-26,2024-11-05,ROB AUTO,2018 HYUNDAI Grand Starex GLS CRDI VGT AT 10 Seater wi,MU8278
BOF773,01RBA2411-27,2024-11-05,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX M/T,BOF773
F0Y231,01RBA2411-28,2024-11-05,ROB AUTO,2018 NISSAN Navara NP300 2.5L 4X2 A/T,F0Y231
C2G313,01RBA2411-29,2024-11-05,ROB AUTO,2019 Ford Ranger 2.2L XLT 4x2 MT,C2G313
E2M812,01RBA2411-30,2024-11-05,ROB AUTO,2021 HONDA HR-V 1.8 S CVT,E2M812
VY3484,01RBA2411-31,2024-11-05,ROB AUTO,2017 TOYOTA Hilux 2.4 4X2 e DSL MT,VY3484
B4S942,01RBA2411-32,2024-11-05,ROB AUTO,2019 MITSUBISHI Strada GLS 2.4D 2WD AT,B4S942
B2-Y384,01RBA2411-33,2024-11-05,ROB AUTO,2018 MITSUBISHI L300 CC exceed FB Body w/ DUal AC,B2Y384
B4J360,01RBA2411-34,2024-11-05,ROB AUTO,2019 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B4J360
W0-M917,01RBA2411-35,2024-11-22,ROB AUTO,2021 MG ZS 1.5L ALPHA,W0M917
B7M352,01RBA2411-37,2024-11-22,ROB AUTO,2020 MITSUBISHI MONTERO SPORT GT 2WD AT,B7M352
WOS480,01RBA2411-38,2024-11-22,ROB AUTO,2022 MG ZS 1.5L ALPHA AT,WOS480
E1T129,01RBA2411-39,2024-11-22,ROB AUTO,2019 HONDA BR-V 1.5 V Navi CVT,E1T129
Y4Q726,01RBA2411-40,2024-11-22,ROB AUTO,2024 MITSUBISHI MIRAGE G4 GLX 1.2G CVT,Y4Q726
Y2U572,01RBA2411-42,2024-11-22,ROB AUTO,2023 MITSUBISHI L300 FB EXCEED DUAL AC,Y2U572
Y3Y167,01RBA2411-43,2024-11-22,ROB AUTO,2024 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y3Y167
BOU087,01RBA2411-44,2024-11-22,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLS M/T,BOU087
B2N076,01RBA2411-45,2024-11-22,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2G GLX CVT (A/T),B2N076
B8G173,01RBA2411-46,2024-11-22,ROB AUTO,2021 MITSUBISHI XPANDER GLS AT,B8G173
B4C399,01RBA2411-47,2024-11-22,ROB AUTO,2018 MITSUBISHI STRADA GLS 2.4L 2WD AT,B4C399
K0 N012,01RBA2411-48,2024-11-22,ROB AUTO,2019 HYUNDAI Accent 1.4 GL CVT AT,K0N012
CAJ1542,01RBA2411-49,2024-11-22,ROB AUTO,2018 HONDA City 1.5 VX NAVI CVT,CAJ1542
B4V358,01RBA2411-50,2024-11-22,ROB AUTO,2018 MITSUBISHI Mirage GLS 1.2G CVT,B4V358
RK5083,01RBA2411-51,2024-11-22,ROB AUTO,2017 MAZDA Mazda 2 1.5L SkyActiv V,RK5083
