PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
Y1W375,05PSA2409-15,9/16/24,PSB AUTO,2023 MITSUBISHI XPANDER GLX 1.5G 2WD M/T,Y1W375
Z9L985,05PSA2409-16,9/16/24,PSB AUTO,2024 TOYOTA VIOS 1.3 XLE CVT AT,Z9L985
G3R838,05PSA2409-21,9/16/24,PSB AUTO,2022 SUZUKI SWIFT 1.2 GL CVT,G3R838
C2P926,05PSA2409-22,9/16/24,PSB AUTO,2020 FORD RANGER 2.2L XLT 4X2 M/T,C2P926
Z6K016,05PSA2409-27,9/16/24,PSB AUTO,2023 TOYOTA VIOS 1.3 XLE CVT AT,Z6K016
Y2R560,01PSA2409-385,9/16/24,PSB AUTO,2023 MITSUBISHI STRADA ATHLETE 2.4D 2WD,Y2R560
F6A157,01PSA2409-387,9/16/24,PSB AUTO,2023 NISSAN URVAN NV350 2.5L STANDARD 15,F6A157
U3F851,01PSA2409-390,9/16/24,PSB AUTO,2023 MG ZS 1.5L AT ALPHA,U3F851
W2D208,01PSA2409-391,9/16/24,PSB AUTO,2023 MG ZS 1.5L AT ALPHA,W2D208
W0Y140,01PSA2409-393,9/16/24,PSB AUTO,2023 MG ZS 1.5L AT ALPHA,W0Y140
S6Y099,01PSA2409-396,9/16/24,PSB AUTO,2022 TOYOTA HILUX 2.4G 4x2 M/T,S6Y099
Y2-O595,01PSA2409-397,9/16/24,PSB AUTO,2023 MITSUBISHI L300 CC 2.2D M/T WITH FB,Y2O595
S5C898,01PSA2409-399,9/16/24,PSB AUTO,2022 TOYOTA HILUX 2.4G 4x2 A/T,S5C898
S7Y400,01PSA2409-405,9/16/24,PSB AUTO,2022 TOYOTA VIOS 1.3 XLE CVT AT,S7Y400
S8S040,01PSA2409-406,9/16/24,PSB AUTO,2022 TOYOTA VIOS 1.3 XLE CVT AT,S8S040
B6W204,01PSA2409-407,9/16/24,PSB AUTO,2020 MITSUBISHI MONTERO SPORT GT 2.4D  2,B6W204
P1N292,01PSA2409-412,9/16/24,PSB AUTO,2019 TOYOTA VIOS 1.3E GAS A/T,P1N292
Z4H411,05PSA2409-29,9/16/24,PSB AUTO,2023 TOYOTA VIOS 1.3 XLE CVT AT,Z4H411
S5Q270,05PSA2409-30,9/16/24,PSB AUTO,2022 TOYOTA VIOS 1.3 XLE CVT AT,S5Q270
S4R122,05PSA2409-31,9/16/24,PSB AUTO,2022 TOYOTA VIOS 1.3 XLE CVT AT,S4R122
F5Y499,01PSA2409-414,9/16/24,PSB AUTO,2023 NISSAN NAVARA 2.5 CALIBRE-X 4X2 AT,F5Y499
F3P771,01PSA2409-417,9/16/24,PSB AUTO,2020 NISSAN URVAN NV350 2.5L 15STR CRDI,F3P771
B8K842,01PSA2409-418,9/16/24,PSB AUTO,2021 MITSUBISHI XPANDER GLX 1.5G M/T,B8K842
S3E023,01PSA2409-419,9/16/24,PSB AUTO,2021 TOYOTA VIOS 1.3 XLE CVT AT,S3E023
F2R010,01PSA2409-420,9/16/24,PSB AUTO,2019 NISSAN NP300 NAVARA NCAP 2.5L 4X4 V,F2R010
F2K609,01PSA2409-424,9/16/24,PSB AUTO,2019 NISSAN NP300 NAVARA NCAP 2.5L 4X2 E,F2K609
Y3K322,01PSA2409-428,9/16/24,PSB AUTO,2023 MITSUBISHI XPANDER GLS 1.5G 2WD A/T,Y3K322
C3A492,01PSA2409-429,9/16/24,PSB AUTO,2021 FORD TERRITORY 1.5L ECOBOOST TITANI,C3A492
Z2O798,01PSA2409-430,9/19/24,PSB AUTO,2023 TOYOTA INNOVA 2.8E DSL A/T,Z2O798
K2V363,01PSA2409-431,9/19/24,PSB AUTO,2023 HYUNDAI CRETA 1.5 GL IVT,K2V363
S8V704,01PSA2409-432,9/19/24,PSB AUTO,2022 TOYOTA RUSH 1.5G GR-S A/T,S8V704
CS#Z5E421,01PSA2409-433,9/19/24,PSB AUTO,2023 TOYOTA VIOS 1.3 XLE CVT AT,CSZ5E421
S9H912,01PSA2409-435,9/19/24,PSB AUTO,2023 TOYOTA RAIZE 1.2E CVT,S9H912
C1R128,01PSA2409-436,9/19/24,PSB AUTO,2018 FORD EVEREST 2.2L 4X2 A/T TITANIUM,C1R128
B3 O023,01PSA2409-437,9/19/24,PSB AUTO,2018 MITSUBISHI MONTERO SPORT GLS 2.4D 2,B3O023
JL478A,07PSA2409-12,9/19/24,PSB AUTO,2024 NISSAN LIVINA 1.5L VE AT,JL478A
FC965A,07PSA2409-13,9/19/24,PSB AUTO,2025 MITSUBISHI XPANDER CROSS 1.5G A/T,FC965A
S5Q264,01PSA2409-438,9/19/24,PSB AUTO,2022 TOYOTA VIOS 1.3 XLE CVT AT,S5Q264
F5G034,01PSA2409-439,9/19/24,PSB AUTO,2022 NISSAN NAVARA 2.5 PRO-4X AT 4X4,F5G034
S3I151,01PSA2409-440,9/19/24,PSB AUTO,2021 TOYOTA FORTUNER 2.8L Q 4X2 DSL A/T,S3I151
G1R427,05PSA2409-40,9/20/24,PSB AUTO,2019 SUZUKI SWIFT 1.2L GL MT,G1R427
P9I480,05PSA2409-43,9/20/24,PSB AUTO,2021 TOYOTA WIGO 1.0G A/T,P9I480
I0P988,05PSA2409-44,9/20/24,PSB AUTO,2023 CHERY TIGGO 5X AT,I0P988
B9U885,01PSA2409-442,9/25/24,PSB AUTO,2022 MITSUBISHI L300 CC 2.2D M/T WITH FB,B9U885
Y1M244,01PSA2409-443,9/25/24,PSB AUTO,2023 MITSUBISHI XPANDER GLX 1.5G 2WD A/T,Y1M244
Y1Z601,01PSA2409-444,9/25/24,PSB AUTO,2023 MITSUBISHI XPANDER GLS 1.5G 2WD A/T,Y1Z601
Y3A900,01PSA2409-445,9/25/24,PSB AUTO,2023 MITSUBISHI XPANDER GLS 1.5G 2WD A/T,Y3A900
S6H319,01PSA2409-446,9/25/24,PSB AUTO,2022 TOYOTA HILUX 4X4 CONQUEST A/T,S6H319
G1X006,01PSA2409-447,9/25/24,PSB AUTO,2020 SUZUKI ERTIGA GL A/T (BLACK EDITION,G1X006
T0Q939,01PSA2409-448,9/25/24,PSB AUTO,2022 Geely Emgrand Premium 1.5 CVT,T0Q939
B5L648,01PSA2409-449,9/25/24,PSB AUTO,2019 MITSUBISHI STRADA GLS 2.4D 2WD M/T,B5L648
G4H587,01PSA2409-450,9/25/24,PSB AUTO,2023 SUZUKI ERTIGA GL AT HYBRID,G4H587
K2Y541,01PSA2409-451,9/25/24,PSB AUTO,2023 HYUNDAI STARGAZER 1.5 GL IVT,K2Y541
Z0F435,01PSA2409-452,9/25/24,PSB AUTO,2023 TOYOTA VIOS 1.3 XLE CVT AT,Z0F435
G1V208,01PSA2409-453,9/25/24,PSB AUTO,2020 SUZUKI MC VITARA GLX,G1V208
F3J346,01PSA2409-454,9/25/24,PSB AUTO,2020 NISSAN NP300 NAVARA NCAP 2.5L 4X4 V,F3J346
Y2I502,01PSA2409-455,9/25/24,PSB AUTO,2023 MITSUBISHI MIRAGE G4 GLX 1.2G CVT,Y2I502
W0X590,01PSA2409-456,9/25/24,PSB AUTO,2022 MG ZS 1.3L AT TROPHY,W0X590
P6F971,01PSA2409-457,9/25/24,PSB AUTO,2020 TOYOTA RUSH 1.5G A/T,P6F971
Z3X335,01PSA2409-458,9/25/24,PSB AUTO,2023 TOYOTA HILUX 2.4 CONQUEST 4X2 A/T-1,Z3X335
B6 P327,01PSA2409-459,9/25/24,PSB AUTO,2020 MITSUBISHI L300 CC 2.2D M/T WITH FB,B6P327
T0Y455,01PSA2409-460,9/25/24,PSB AUTO,2023 Geely Coolray SE Sport,T0Y455
z0y994,01PSA2409-461,9/25/24,PSB AUTO,2023 TOYOTA VELOZ 1.5G A/T,Z0Y994
G4G976,01PSA2409-462,9/25/24,PSB AUTO,2023 SUZUKI S-PRESSO 1.0L MT SE,G4G976
D3B271,01PSA2409-463,9/25/24,PSB AUTO,2023 ISUZU TRAVIZ L WITH UTILITY VAN AND,D3B271
Y3R022,01PSA2409-464,9/27/24,PSB AUTO,2023 MITSUBISHI XPANDER GLS 1.5G 2WD A/T,Y3R022
Z5J054,05PSA2409-46,9/28/24,PSB AUTO,2023 TOYOTA VIOS 1.3 XLE CVT AT,Z5J054
S6R265,05PSA2409-47,9/28/24,PSB AUTO,2022 TOYOTA HILUX 4X2 CONQUEST A/T,S6R265
CS B8T803,05PSA2409-48,9/28/24,PSB AUTO,2021 MITSUBISHI XPANDER CROSS 1.5G A/T (,CSB8T803
S1G390,05PSA2409-49,9/28/24,PSB AUTO,2021 TOYOTA INNOVA 2.8E DSL M/T,S1G390
Y2O004,01PSA2409-465,9/28/24,PSB AUTO,2023 MITSUBISHI STRADA GLS 2.4D 2WD M/T,Y2O004
Z2Y996,01PSA2409-466,9/28/24,PSB AUTO,2023 TOYOTA VIOS 1.3 XLE CVT AT,Z2Y996
Y3H029,01PSA2409-467,9/28/24,PSB AUTO,2023 MITSUBISHI MONTERO SPORT GLS 2.4D 2,Y3H029
CS#F3P447,01PSA2409-468,9/28/24,PSB AUTO,2020 NISSAN TERRA 2.5L EL 4X2 M/T,CSF3P447
Y3W591,01PSA2409-469,9/28/24,PSB AUTO,2023 MITSUBISHI L300 CC 2.2D M/T WITH FB,Y3W591
E3G694,01PSA2409-470,9/28/24,PSB AUTO,2021 HONDA BRIO 1.2V CVT,E3G694
C3Y770,01PSA2409-473,9/28/24,PSB AUTO,2022 FORD RANGER 2.0L TURBO WILDTRAK 4X2,C3Y770
S2X034,01PSA2409-474,9/28/24,PSB AUTO,2021 TOYOTA HI-ACE COMMUTER DELUXE 2.8 D,S2X034
Z0V458,01PSA2409-475,9/28/24,PSB AUTO,2023 TOYOTA FORTUNER 2.4G 4X2 DSL A/T,Z0V458
Y2S839,01PSA2409-476,9/28/24,PSB AUTO,2023 MITSUBISHI XPANDER CROSS 1.5G A/T (,Y2S839
K2V420,01PSA2409-477,9/28/24,PSB AUTO,2023 HYUNDAI CRETA 1.5 GL IVT,K2V420
G4J070,01PSA2409-478,9/28/24,PSB AUTO,2023 SUZUKI CELERIO GL 1.0L A/T MC,G4J070
CS#Z2P643,01PSA2409-480,9/28/24,PSB AUTO,2023 TOYOTA FORTUNER 2.4G 4X2 DSL A/T,CSZ2P643
F5X787,01PSA2409-481,9/28/24,PSB AUTO,2023 NISSAN LIVINA 1.5L VL AT,F5X787
F2J068,05PSA2409-50,9/28/24,PSB AUTO,2019 NISSAN URVAN NV350 2.5L 15STR CRDI,F2J068
A2C470,02TFFA2209-106,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E M/T,A2C470
 ,02TFFA2209-108,9/13/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 G Dsl A/T,""
 ,02TFFA2209-113,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E A/T,""
A2Z597,02TFFA2209-116,9/13/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,A2Z597
P4A192,02TFFA2209-127,9/13/22,TOYOTA LEVEL 3,Vios 1.3 J M/T,P4A192
 ,02TFFA2209-130,9/13/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 G Dsl A/T,""
A0Q612,02TFFA2209-137,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E M/T,A0Q612
 ,02TFFA2209-142,9/13/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,""
VV0338,02TFFA2209-146,9/13/22,TOYOTA LEVEL 3,Yaris 1.3 E A/T,VV0338
A2U416,02TFFA2209-147,9/13/22,TOYOTA LEVEL 3,Hiace Super Grandia 3.0 A/T Fabric Monotone,A2U416
S2P556,02TFFA2209-15,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,S2P556
A4B402,02TFFA2209-150,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E A/T,A4B402
A2S932,02TFFA2209-161,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E M/T,A2S932
A5L793,02TFFA2209-165,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,A5L793
A7O396,02TFFA2209-176,9/13/22,TOYOTA LEVEL 3,Fortuner 4x4 2.8 V Dsl A/T,A7O396
A0H207,02TFFA2209-184,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E A/T,A0H207
A7U484,02TFFA2209-188,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,A7U484
A6W458,02TFFA2209-190,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,A6W458
A9P828,02TFFA2209-197,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,A9P828
P9Z757,02TFFA2209-20,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl M/T,P9Z757
A4U145,02TFFA2209-203,9/13/22,TOYOTA LEVEL 3,Wigo 1.0 G M/T,A4U145
A3R652,02TFFA2209-211,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E M/T,A3R652
A8F814,02TFFA2209-213,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V Dsl A/T (White Pearl),A8F814
A2I850,02TFFA2209-229,9/13/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,A2I850
P3A883,02TFFA2209-245,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl M/T,P3A883
A6Y960,02TFFA2209-249,9/13/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,A6Y960
A6S042,02TFFA2209-255,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V Dsl A/T,A6S042
P5D789,02TFFA2209-256,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl M/T,P5D789
A6R953,02TFFA2209-259,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 TRD Dsl A/T (White Pearl),A6R953
A5O595,02TFFA2209-268,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V Dsl A/T,A5O595
P6O140,02TFFA2209-271,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE M/T,P6O140
P5T891,02TFFA2209-279,9/13/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 G Dsl A/T,P5T891
P6Z807,02TFFA2209-289,9/13/22,TOYOTA LEVEL 3,Vios 1.3 J M/T,P6Z807
P5K736,02TFFA2209-295,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P5K736
DAU4879,02TFFA2209-300,9/13/22,TOYOTA LEVEL 3,Hiace Commuter Deluxe 2.8 M/T,DAU4879
P6B522,02TFFA2209-31,9/13/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,P6B522
P6Q726,02TFFA2209-319,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P6Q726
P7N231,02TFFA2209-32,9/13/22,TOYOTA LEVEL 3,Hiace Commuter Deluxe 2.8 M/T,P7N231
P2Z719,02TFFA2209-332,9/13/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 G Dsl M/T,P2Z719
P9Y188,02TFFA2209-335,9/13/22,TOYOTA LEVEL 3,Land Cruiser LC200 Premium 4.5 Dsl A/T (White Pearl),P9Y188
P9X966,02TFFA2209-338,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V A/T Pearl,P9X966
LAH2089,02TFFA2209-34,9/13/22,TOYOTA LEVEL 3,Rush 1.5 G A/T,LAH2089
P9Y617,02TFFA2209-347,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P9Y617
P8E598,02TFFA2209-350,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P8E598
P1V229,02TFFA2209-352,9/13/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 Conquest Dsl A/T,P1V229
P9P579,02TFFA2209-365,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P9P579
P9A031,02TFFA2209-367,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE M/T,P9A031
P5H723,02TFFA2209-371,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P5H723
S2G972,02TFFA2209-38,9/13/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,S2G972
NFC1759,02TFFA2209-386,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,NFC1759
NEF4752,02TFFA2209-387,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,NEF4752
NFI2535,02TFFA2209-389,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,NFI2535
P7V596,02TFFA2209-391,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P7V596
P8Q053,02TFFA2209-394,9/13/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,P8Q053
P8F649,02TFFA2209-399,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P8F649
DBF1762,02TFFA2209-40,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl M/T,DBF1762
P9E476,02TFFA2209-401,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P9E476
P5K313,02TFFA2209-413,9/13/22,TOYOTA LEVEL 3,Innova 2.8 G Dsl A/T (White Pearl),P5K313
P6X937,02TFFA2209-418,9/13/22,TOYOTA LEVEL 3,Innova 2.8 G Dsl A/T (White Pearl),P6X937
NFI8904,02TFFA2209-42,9/13/22,TOYOTA LEVEL 3,Hiace Commuter Deluxe 2.8 M/T,NFI8904
P5Z096,02TFFA2209-421,9/13/22,TOYOTA LEVEL 3,Hiace Commuter Deluxe 2.8 M/T,P5Z096
P9U016,02TFFA2209-423,9/13/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,P9U016
S0G031,02TFFA2209-426,9/13/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,S0G031
S1N208,02TFFA2209-438,9/13/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,S1N208
S1G243,02TFFA2209-439,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S1G243
NEW9365,02TFFA2209-440,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,NEW9365
NEP8271,02TFFA2209-448,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,NEP8271
NFI2089,02TFFA2209-450,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,NFI2089
S0E215,02TFFA2209-453,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V A/T Pearl,S0E215
S1M586,02TFFA2209-455,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S1M586
P8J636,02TFFA2209-457,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE M/T,P8J636
P4Z689,02TFFA2209-461,9/13/22,TOYOTA LEVEL 3,Hilux 4x4 2.8 G Dsl M/T,P4Z689
S2B828,02TFFA2209-462,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S2B828
LAI9346,02TFFA2209-472,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,LAI9346
DAU9413,02TFFA2209-476,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.8 LTD A/T WP 2-Tone,DAU9413
P7Z458,02TFFA2209-483,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl M/T,P7Z458
S2G354,02TFFA2209-495,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S2G354
DBB4099,02TFFA2209-50,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,DBB4099
S2L709,02TFFA2209-506,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S2L709
P8N056,02TFFA2209-526,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P8N056
A4X247,02TFFA2209-53,9/13/22,TOYOTA LEVEL 3,Avanza 1.3 E M/T,A4X247
P6O388,02TFFA2209-531,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P6O388
A8X909,02TFFA2209-54,9/13/22,TOYOTA LEVEL 3,Vios 1.3 J M/T,A8X909
NEW5680,02TFFA2209-542,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,NEW5680
P9C890,02TFFA2209-563,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XE CVT,P9C890
A2S800,02TFFA2209-565,9/13/22,TOYOTA LEVEL 3,Innova 2.8 G Dsl A/T,A2S800
A8H356,02TFFA2209-569,9/13/22,TOYOTA LEVEL 3,Vios 1.5 G A/T,A8H356
 ,02TFFA2209-577,9/13/22,TOYOTA LEVEL 3,Vios 1.3 E A/T,""
 ,02TFFA2209-578,9/13/22,TOYOTA LEVEL 3,Avanza 1.3 E A/T,""
A5V574,02TFFA2209-585,9/13/22,TOYOTA LEVEL 3,Innova 2.8 Touring Sport Dsl M/T,A5V574
A6L505,02TFFA2209-590,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V Dsl A/T (White Pearl),A6L505
A7G199,02TFFA2209-593,9/13/22,TOYOTA LEVEL 3,Hilux 4x4 2.8 G Dsl M/T,A7G199
A6A887,02TFFA2209-595,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V Dsl A/T,A6A887
P9D408,02TFFA2209-612,9/13/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P9D408
NEL5664,02TFFA2209-614,9/13/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 G Dsl A/T,NEL5664
P7F918,02TFFA2209-617,9/13/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P7F918
 ,02TFFA2209-80,9/13/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl M/T,""
ACL3503,02TFFA2209-83,9/13/22,TOYOTA LEVEL 3,Innova 2.8 J Dsl M/T,ACL3503
P4X825,02TFFA2210-1000,10/11/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,P4X825
P3X485,02TFFA2210-1005,10/11/22,TOYOTA LEVEL 3,Avanza 1.5 Veloz A/T,P3X485
P8Y429,02TFFA2210-1008,10/11/22,TOYOTA LEVEL 3,Avanza 1.5 G M/T,P8Y429
P4K833,02TFFA2210-1009,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P4K833
P6X954,02TFFA2210-1010,10/11/22,TOYOTA LEVEL 3,Vios 1.3 J M/T,P6X954
S1M282,02TFFA2210-1017,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,S1M282
 ,02TFFA2210-1018,10/11/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,""
P2D583,02TFFA2210-1019,10/11/22,TOYOTA LEVEL 3,Vios 1.3 E A/T,P2D583
P9K527,02TFFA2210-1020,10/11/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,P9K527
NEF8292,02TFFA2210-1022,10/11/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,NEF8292
P0N488,02TFFA2210-1023,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P0N488
P6W894,02TFFA2210-1030,10/11/22,TOYOTA LEVEL 3,Avanza 1.3 E A/T,P6W894
P9P970,02TFFA2210-1031,10/11/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,P9P970
CBL9153,02TFFA2210-1038,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XE CVT,CBL9153
P0J945,02TFFA2210-1042,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 V Dsl A/T (White Pearl),P0J945
P2C543,02TFFA2210-1051,10/11/22,TOYOTA LEVEL 3,Vios 1.3 E A/T,P2C543
P3L233,02TFFA2210-1057,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P3L233
FAF4618,02TFFA2210-1062,10/11/22,TOYOTA LEVEL 3,Avanza 1.3 E M/T,FAF4618
S0W481,02TFFA2210-1063,10/11/22,TOYOTA LEVEL 3,Rush 1.5 G A/T,S0W481
P0H315,02TFFA2210-1064,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P0H315
P8J005,02TFFA2210-1066,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P8J005
P4P989,02TFFA2210-1070,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P4P989
S1G426,02TFFA2210-1074,10/11/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S1G426
P7O748,02TFFA2210-1075,10/11/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,P7O748
S0K708,02TFFA2210-1076,10/11/22,TOYOTA LEVEL 3,Rush 1.5 G A/T,S0K708
S0X090,02TFFA2210-1077,10/11/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,S0X090
P8R110,02TFFA2210-1081,10/11/22,TOYOTA LEVEL 3,Rush 1.5 G A/T,P8R110
P8D117,02TFFA2210-1082,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P8D117
P7T365,02TFFA2210-1084,10/11/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl A/T,P7T365
P3W357,02TFFA2210-1085,10/11/22,TOYOTA LEVEL 3,Vios 1.3 J M/T,P3W357
NEF8441,02TFFA2210-1087,10/11/22,TOYOTA LEVEL 3,Rush 1.5 G A/T,NEF8441
NEL2862,02TFFA2210-1092,10/11/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 Conquest Dsl A/T,NEL2862
A9L721,02TFFA2210-1093,10/11/22,TOYOTA LEVEL 3,Innova 2.8 E Dsl M/T,A9L721
S0R005,02TFFA2210-1097,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XE CVT,S0R005
P9I225,02TFFA2210-1099,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl A/T,P9I225
P7R482,02TFFA2210-1101,10/11/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 E Dsl M/T,P7R482
P7R647,02TFFA2210-1102,10/11/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 Conquest Dsl A/T,P7R647
FAL7471,02TFFA2210-1105,10/11/22,TOYOTA LEVEL 3,Fortuner 4x2 2.4 G Dsl M/T,FAL7471
P5U811,02TFFA2210-1107,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P5U811
S1L273,02TFFA2210-1108,10/11/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,S1L273
NEP3409,02TFFA2210-1118,10/11/22,TOYOTA LEVEL 3,Hilux 4x2 2.4 Conquest Dsl A/T,NEP3409
P7F132,02TFFA2210-1124,10/11/22,TOYOTA LEVEL 3,Hilux 4x4 2.8 G Dsl A/T,P7F132
A3X373,02TFFA2210-1125,10/11/22,TOYOTA LEVEL 3,Hiace Commuter 3.0 M/T,A3X373
P7P252,02TFFA2210-1129,10/11/22,TOYOTA LEVEL 3,Wigo 1.0 G M/T,P7P252
P3H085,02TFFA2210-1133,10/11/22,TOYOTA LEVEL 3,Hilux 4x4 2.8 G Dsl M/T,P3H085
P7K988,02TFFA2210-114,10/11/22,TOYOTA LEVEL 3,Innova 2.8 J Dsl M/T,P7K988
P9K026,02TFFA2210-1142,10/11/22,TOYOTA LEVEL 3,Vios 1.3 XLE CVT,P9K026
S1W144,02TFFA2210-1145,10/11/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,S1W144
NDZ8558,02TFFA2210-1147,10/11/22,TOYOTA LEVEL 3,Wigo 1.0 G A/T,NDZ8558
